,index,word,count,genres,title_occurrence,%_occurrence,mean_rating
0,8341,new,269,Action,219,16.102941176470587,6.364919996595193
1,4753,man,205,Action,173,12.720588235294118,6.2902903492884255
2,6818,help,159,Action,145,10.661764705882353,6.3036061995708375
3,4126,finds,159,Action,133,9.779411764705882,6.282624267056393
4,10784,years,126,Action,121,8.897058823529411,6.4477767523872815
5,1262,young,135,Action,120,8.823529411764707,6.254144665687133
6,4929,police,160,Action,118,8.676470588235293,6.207737994638373
7,3501,life,134,Action,116,8.529411764705882,6.407578570556659
8,9850,other,143,Action,114,8.382352941176471,6.394488386041743
9,8087,world,127,Action,113,8.308823529411764,6.478225835101054
10,9800,take,124,Action,111,8.161764705882353,6.370615849921019
11,2260,way,118,Action,111,8.161764705882353,6.358941312157491
12,343,war,115,Action,102,7.5,6.572555373500337
13,3151,stop,107,Action,99,7.279411764705882,6.222242300193999
14,8019,group,111,Action,97,7.132352941176471,6.003973677937551
15,6498,own,108,Action,96,7.0588235294117645,6.381223324419057
16,4644,time,106,Action,96,7.0588235294117645,6.50564662682052
17,4135,men,127,Action,94,6.911764705882353,6.338471521862459
18,2013,decides,97,Action,85,6.25,6.333331573746321
19,2327,former,97,Action,83,6.102941176470588,6.340809277967418
20,986,old,94,Action,83,6.102941176470588,6.298069018509391
21,5556,secret,102,Action,82,6.029411764705882,6.180089732767108
22,3171,becomes,90,Action,79,5.8088235294117645,6.347006301351397
23,4440,wife,85,Action,79,5.8088235294117645,6.21521043424803
24,8261,tries,91,Action,79,5.8088235294117645,6.159819397602824
25,8757,fight,88,Action,79,5.8088235294117645,6.310854735824042
26,1916,american,90,Action,79,5.8088235294117645,6.322472990063276
27,4029,first,92,Action,78,5.735294117647059,6.694575009253038
28,7736,become,83,Action,78,5.735294117647059,6.277238945991812
29,4060,story,83,Action,73,5.367647058823529,6.498951859782478
30,9089,drug,100,Action,73,5.367647058823529,6.265361876610037
31,233,people,82,Action,72,5.294117647058823,6.360312297712582
32,136,it's,77,Action,71,5.220588235294118,6.4147412061978795
33,9900,evil,81,Action,70,5.147058823529412,6.322216886211842
