,index,word,count,genres,title_occurrence,%_occurrence,mean_rating
0,819,new,192,Adventure,156,15.934627170582226,6.600155498707556
1,8278,young,139,Adventure,131,13.38100102145046,6.595622053261629
2,8981,world,121,Adventure,100,10.21450459652707,6.695199899894919
3,2006,life,118,Adventure,97,9.908069458631257,6.590361622108172
4,8,years,101,Adventure,96,9.805924412665986,6.619191266547266
5,9348,time,104,Adventure,89,9.090909090909092,6.728772990712479
6,3993,evil,98,Adventure,87,8.88661899897855,6.669264549927725
7,7385,way,92,Adventure,86,8.78447395301328,6.660984163677548
8,5818,man,96,Adventure,82,8.375893769152196,6.505293968852674
9,7259,other,92,Adventure,81,8.273748723186925,6.590505478004768
10,4899,make,77,Adventure,76,7.763023493360572,6.447312172516836
11,2196,story,85,Adventure,70,7.150153217568948,6.64940837763401
12,1796,family,85,Adventure,67,6.843718079673136,6.7300129413670176
13,6208,friends,66,Adventure,64,6.537282941777324,6.7954815940725615
14,2182,becomes,68,Adventure,64,6.537282941777324,6.721072632139763
15,3928,friend,66,Adventure,62,6.332992849846782,6.698024989011479
16,4710,old,77,Adventure,61,6.230847803881511,6.606265714964502
17,4435,own,69,Adventure,60,6.128702757916241,6.624643195039573
18,4921,group,70,Adventure,59,6.026557711950971,6.460753454700769
19,3476,stop,62,Adventure,58,5.9244126659857,6.562983025208805
20,5785,war,65,Adventure,58,5.9244126659857,6.90943017831639
21,7335,it's,63,Adventure,57,5.822267620020429,6.524440844627125
22,4117,rescue,60,Adventure,54,5.515832482124617,6.7399840454537605
23,914,american,60,Adventure,54,5.515832482124617,6.582388658222924
24,7212,home,58,Adventure,53,5.413687436159346,6.637041583050519
25,4516,mission,57,Adventure,53,5.413687436159346,6.71684737632098
26,4352,british,73,Adventure,53,5.413687436159346,6.842666709005543
27,3598,team,66,Adventure,53,5.413687436159346,6.450469148514355
28,4616,meets,54,Adventure,53,5.413687436159346,6.847610008718862
29,6618,men,60,Adventure,52,5.3115423901940755,6.555245890549321
30,4177,return,54,Adventure,52,5.3115423901940755,6.564800355014948
31,4880,son,61,Adventure,50,5.107252298263535,6.432507410502834
32,1531,mysterious,50,Adventure,49,5.005107252298264,6.709472406855555
33,1966,crew,62,Adventure,49,5.005107252298264,6.673175209878611
