,index,word,count,genres,title_occurrence,%_occurrence,mean_rating
0,1158,life,152,Biography,123,27.954545454545453,6.836566486922054
1,1249,story,93,Biography,86,19.545454545454547,6.842322020362804
2,3808,film,76,Biography,60,13.636363636363637,6.893100135087677
3,500,new,62,Biography,54,12.272727272727273,6.905344440191755
4,4812,young,60,Biography,53,12.045454545454545,6.7747080847844945
5,5196,world,56,Biography,48,10.909090909090908,6.849288457581811
6,3416,true,49,Biography,47,10.681818181818182,6.824325154665258
7,1054,family,50,Biography,45,10.227272727272727,6.91629558292016
8,3359,war,49,Biography,44,10.0,6.8713420107284575
9,3757,career,45,Biography,43,9.772727272727273,6.7784397125642855
10,9,years,52,Biography,43,9.772727272727273,7.008532355029939
11,2534,own,47,Biography,40,9.090909090909092,6.970855292478442
12,4218,other,43,Biography,38,8.636363636363637,6.95135814541663
13,253,become,43,Biography,36,8.181818181818182,6.916896994789228
14,541,american,37,Biography,33,7.5,7.027787299409381
15,3370,man,36,Biography,33,7.5,6.785153705054065
16,3321,many,33,Biography,30,6.818181818181818,7.018840543487444
17,3268,wife,29,Biography,29,6.590909090909091,6.783417762004069
18,1247,movie,37,Biography,28,6.363636363636363,6.54590998917504
19,3095,death,29,Biography,27,6.136363636363637,6.781758874168192
20,3500,lives,31,Biography,27,6.136363636363637,7.164228048269541
21,3622,famous,29,Biography,27,6.136363636363637,6.931313987788093
22,5412,time,28,Biography,27,6.136363636363637,7.070967493236975
23,2883,people,28,Biography,26,5.909090909090909,6.917818575555755
24,5111,relationship,30,Biography,26,5.909090909090909,6.697415713764728
25,414,much,27,Biography,25,5.681818181818182,6.784665511499932
26,2636,meets,27,Biography,24,5.454545454545454,6.504448355733989
27,2603,marriage,25,Biography,24,5.454545454545454,6.760843671628219
28,3962,help,24,Biography,24,5.454545454545454,6.865735053193396
29,5437,end,26,Biography,24,5.454545454545454,6.70250071089098
30,1283,begins,23,Biography,23,5.2272727272727275,7.037545677935781
