,index,word,count,genres,title_occurrence,%_occurrence,mean_rating
0,895,new,282,Crime,220,16.430171769977594,6.445086587454107
1,6534,man,232,Crime,190,14.189693801344287,6.436780950210755
2,4231,police,229,Crime,190,14.189693801344287,6.382479056432902
3,9276,young,166,Crime,148,11.053024645257654,6.242149081623305
4,2213,life,162,Crime,142,10.604929051530993,6.322672273298059
5,6147,murder,150,Crime,133,9.932785660941,6.564418146825486
6,8095,other,131,Crime,113,8.439133681852129,6.4549137846566484
7,2396,becomes,123,Crime,107,7.991038088125467,6.376080342149465
8,7,drug,145,Crime,105,7.8416728902165795,6.225535353166274
9,3408,he's,139,Crime,105,7.8416728902165795,6.402049912301041
10,6330,wife,113,Crime,105,7.8416728902165795,6.452238474343771
11,10452,time,114,Crime,104,7.766990291262136,6.412596406766907
12,4897,own,116,Crime,100,7.468259895444361,6.596263071889212
13,5216,old,110,Crime,97,7.2442120985810305,6.366931616855607
14,2637,money,123,Crime,97,7.2442120985810305,6.496906821767505
15,9957,crime,108,Crime,94,7.0201643017177,6.487876382564927
16,8234,way,100,Crime,93,6.9454817027632565,6.465186155915999
17,9095,take,101,Crime,92,6.870799103808813,6.439027197853887
18,1978,family,118,Crime,91,6.796116504854369,6.514854310140347
19,5957,detective,108,Crime,87,6.4973861090365945,6.476243694649053
20,8172,it's,93,Crime,86,6.422703510082151,6.425170552397841
21,9559,tries,93,Crime,86,6.422703510082151,6.3830317663130565
22,2416,story,95,Crime,86,6.422703510082151,6.563525492684472
23,12,years,90,Crime,85,6.3480209111277075,6.577610786843502
24,9121,woman,93,Crime,84,6.273338312173264,6.231556178843277
25,2466,begins,98,Crime,84,6.273338312173264,6.430465691611444
26,5424,son,87,Crime,82,6.123973114264376,6.359129025245115
27,3923,local,87,Crime,80,5.974607916355489,6.284225365400738
28,2855,former,86,Crime,76,5.675877520537715,6.429296608339699
29,4066,job,81,Crime,74,5.526512322628827,6.328417188110379
30,5986,death,78,Crime,71,5.3024645257654965,6.462272566080056
31,9845,york,82,Crime,71,5.3024645257654965,6.3619008894742
32,4868,work,74,Crime,70,5.227781926811053,6.520716501909465
33,3401,cop,78,Crime,69,5.1530993278566095,6.262789068590394
34,8908,daughter,76,Crime,69,5.1530993278566095,6.39675073159834
35,531,gang,94,Crime,68,5.078416728902166,6.423523406005021
36,1447,city,86,Crime,68,5.078416728902166,6.363109052862981
37,7376,men,86,Crime,68,5.078416728902166,6.473201671092362
38,5121,meets,71,Crime,68,5.078416728902166,6.358993038860746
