,index,word,count,genres,title_occurrence,%_occurrence,mean_rating
0,2899,documentary,143,Documentary,139,22.31139646869984,6.74808143715863
1,3129,nan,124,Documentary,124,19.903691813804173,6.482667448281842
2,3537,film,109,Documentary,91,14.606741573033707,6.818107891842889
3,1056,life,75,Documentary,66,10.593900481540931,6.81932737701772
4,437,new,78,Documentary,61,9.791332263242376,6.882612503958053
5,4863,world,65,Documentary,53,8.507223113964686,6.710647895701353
6,1437,interviews,47,Documentary,46,7.38362760834671,6.551106932071062
7,2665,people,49,Documentary,45,7.223113964686998,6.770217055417699
8,1147,story,47,Documentary,44,7.062600321027287,6.759909495960582
9,4955,live,44,Documentary,40,6.420545746388443,7.110807092109036
10,495,american,41,Documentary,39,6.260032102728732,6.906799812274757
11,5113,footage,38,Documentary,38,6.099518459069021,6.8000735395944805
12,3077,many,46,Documentary,36,5.778491171749598,6.786495940224939
13,4485,look,36,Documentary,36,5.778491171749598,6.308580897920248
14,5,years,39,Documentary,34,5.457463884430177,6.844711805565696
15,3148,music,37,Documentary,34,5.457463884430177,7.077620706234927
