,index,word,count,genres,title_occurrence,%_occurrence,mean_rating
0,4979,young,811,Drama,704,16.8179646440516,6.440259003687202
1,18609,life,864,Drama,689,16.459627329192546,6.5142921998478815
2,6342,new,857,Drama,684,16.340181557572862,6.568935730983004
3,18506,find,540,Drama,481,11.490683229813664,6.539954566844732
4,9265,man,555,Drama,476,11.37123745819398,6.4688513772252945
5,7128,story,502,Drama,446,10.654562828475871,6.571506831940059
6,1081,family,501,Drama,401,9.57955088389871,6.589686323289676
7,1308,becomes,447,Drama,397,9.483994266602963,6.465405490968692
8,8406,own,432,Drama,381,9.10176779741997,6.543107013947586
9,21704,other,423,Drama,379,9.053989488772098,6.538439467253133
10,11601,years,409,Drama,368,8.791208791208792,6.6290472950658765
11,20752,wife,384,Drama,352,8.4089823220258,6.445577921857935
12,7247,first,368,Drama,329,7.8595317725752505,6.663779400244938
13,11129,world,362,Drama,329,7.8595317725752505,6.608664686500967
14,17200,time,386,Drama,328,7.835642618251314,6.562100383858933
15,8566,old,397,Drama,323,7.716196846631629,6.5540897450777145
16,15618,help,341,Drama,316,7.548972766364071,6.536024265914858
17,22230,woman,360,Drama,310,7.405637840420449,6.3839721442356945
18,8511,meets,334,Drama,307,7.3339703774486384,6.405078418265694
19,10195,way,294,Drama,279,6.665074056378404,6.563220914829063
20,22228,decides,306,Drama,276,6.593406593406593,6.519303620956456
21,3488,war,327,Drama,276,6.593406593406593,6.8467205058526215
22,7660,he's,334,Drama,261,6.235069278547539,6.420897610605128
23,20645,mother,307,Drama,260,6.211180124223603,6.5388125682406635
24,8662,son,296,Drama,257,6.139512661251792,6.4929078205169395
25,4774,daughter,281,Drama,248,5.924510272336359,6.467041972325914
26,21273,film,296,Drama,247,5.900621118012422,6.46521251602402
27,8121,friend,264,Drama,245,5.852842809364549,6.4549098855369
28,21682,home,262,Drama,242,5.781175346392738,6.402371860953758
29,21057,friends,257,Drama,230,5.4945054945054945,6.5282033055525615
30,5141,tries,247,Drama,226,5.3989488772097465,6.413800868096865
31,5305,relationship,244,Drama,219,5.2317247969421885,6.387980353175849
32,6400,american,243,Drama,217,5.183946488294314,6.581602977078468
33,19494,local,255,Drama,212,5.06450071667463,6.462100797843385
34,13155,small,224,Drama,211,5.040611562350692,6.536349301892679
35,2926,town,268,Drama,211,5.040611562350692,6.523426961436554
36,8749,people,237,Drama,210,5.016722408026756,6.58307495216521
