,index,word,count,genres,title_occurrence,%_occurrence,mean_rating
0,624,new,171,Family,138,20.505200594353642,6.883255638761289
1,6313,young,115,Family,107,15.898959881129272,6.83825804075621
2,1367,family,113,Family,85,12.63001485884101,6.919229992548121
3,1520,life,98,Family,80,11.887072808320951,6.884656428292298
4,3733,make,80,Family,70,10.401188707280832,6.6697140636868495
5,4728,friends,75,Family,69,10.252600297176821,6.861253501170356
6,5645,way,69,Family,67,9.955423476968797,6.875659470421046
7,7073,time,70,Family,64,9.50965824665676,6.772635283134434
8,5562,other,72,Family,62,9.212481426448736,6.9536759935887
9,1654,story,74,Family,60,8.915304606240714,6.7239718253323275
10,5358,boy,66,Family,59,8.766716196136702,6.750653436888491
11,4789,little,64,Family,59,8.766716196136702,6.74470918354622
12,5609,it's,61,Family,54,8.023774145616642,6.754649602261505
13,5532,home,55,Family,52,7.726597325408618,6.682605916215412
14,6904,love,63,Family,51,7.578008915304606,6.730091826570038
15,6807,world,60,Family,50,7.429420505200595,6.8567201746531365
16,4570,girl,54,Family,50,7.429420505200595,6.744440611786679
17,3585,old,70,Family,50,7.429420505200595,6.883947284410818
18,7,years,50,Family,48,7.132243684992571,6.887654443901664
19,3030,evil,53,Family,48,7.132243684992571,6.648927118635071
20,2978,friend,51,Family,47,6.983655274888559,6.702495552176512
21,6925,live,48,Family,46,6.8350668647845465,6.781440600711168
22,3747,town,58,Family,44,6.537890044576523,6.690983197998734
23,6960,discovers,46,Family,42,6.240713224368499,6.752609931639057
24,3717,son,45,Family,40,5.943536404160476,6.603294036732474
25,3365,own,41,Family,40,5.943536404160476,6.850734297918102
26,4444,man,46,Family,38,5.646359583952452,6.740580159518111
27,4270,school,45,Family,38,5.646359583952452,6.905994745400678
28,2336,he's,49,Family,37,5.49777117384844,6.585365261705047
29,7032,big,38,Family,37,5.49777117384844,6.908138683151149
30,3088,things,38,Family,36,5.349182763744428,6.709993304243334
31,333,come,40,Family,35,5.200594353640416,6.7664021637572755
32,3629,meet,37,Family,35,5.200594353640416,6.874847434550394
33,6509,tries,36,Family,34,5.052005943536404,6.755783578282303
34,3299,day,42,Family,34,5.052005943536404,6.773021704664528
35,4176,mother,36,Family,34,5.052005943536404,6.940692033718046
