,index,word,count,genres,title_occurrence,%_occurrence,mean_rating
0,650,man,21,Film-Noir,17,20.0,7.397246803898646
1,512,wife,18,Film-Noir,17,20.0,6.924629495497582
2,938,police,20,Film-Noir,16,18.823529411764707,7.062710430045169
3,576,new,19,Film-Noir,15,17.647058823529413,6.760145362332249
4,218,finds,21,Film-Noir,15,17.647058823529413,6.794875660930258
5,1524,begins,11,Film-Noir,10,11.764705882352942,7.174398923072788
6,3,doesn't,10,Film-Noir,10,11.764705882352942,6.957804958489726
7,1248,find,11,Film-Noir,10,11.764705882352942,7.245309104277342
8,1623,other,10,Film-Noir,9,10.588235294117647,7.111612829255555
9,673,young,9,Film-Noir,9,10.588235294117647,6.720728441098631
10,444,he's,12,Film-Noir,9,10.588235294117647,7.061085525902971
11,1586,home,8,Film-Noir,8,9.411764705882353,6.640441894478744
12,307,death,8,Film-Noir,8,9.411764705882353,7.051434035523243
13,1350,life,9,Film-Noir,8,9.411764705882353,6.993454490869456
14,1468,becomes,11,Film-Noir,8,9.411764705882353,6.786108871518495
15,1310,own,7,Film-Noir,7,8.235294117647058,6.94881617693549
16,1629,money,10,Film-Noir,7,8.235294117647058,7.363305083523243
17,624,dead,9,Film-Noir,7,8.235294117647058,6.753828893376886
18,1427,kill,9,Film-Noir,7,8.235294117647058,6.724860483732969
19,518,fall,7,Film-Noir,7,8.235294117647058,6.783785220169906
20,1608,works,7,Film-Noir,7,8.235294117647058,7.26943453350723
21,1578,returns,6,Film-Noir,6,7.0588235294117645,6.762681026383102
22,41,way,6,Film-Noir,6,7.0588235294117645,7.015772916616135
23,1155,lead,6,Film-Noir,6,7.0588235294117645,7.09249371138343
24,1031,york,7,Film-Noir,6,7.0588235294117645,6.887871986470713
25,973,sister,6,Film-Noir,6,7.0588235294117645,6.070951547288046
26,216,falls,6,Film-Noir,6,7.0588235294117645,6.878036359543085
27,951,little,6,Film-Noir,6,7.0588235294117645,7.00706343529022
28,54,business,7,Film-Noir,6,7.0588235294117645,7.333808399392729
29,95,prison,6,Film-Noir,6,7.0588235294117645,6.873348564947516
30,629,war,6,Film-Noir,6,7.0588235294117645,7.03499355583511
31,554,husband,6,Film-Noir,6,7.0588235294117645,7.091476023239374
32,357,gang,8,Film-Noir,6,7.0588235294117645,6.984071673141575
33,835,tries,6,Film-Noir,6,7.0588235294117645,6.581826783442099
34,1656,sets,5,Film-Noir,5,5.882352941176471,6.79838323305282
35,1635,first,6,Film-Noir,5,5.882352941176471,7.235353072044194
36,0,it's,5,Film-Noir,5,5.882352941176471,7.137645238204383
37,1208,long,5,Film-Noir,5,5.882352941176471,7.20468273982573
38,1137,world,5,Film-Noir,5,5.882352941176471,6.95747813244961
39,1128,everyone,6,Film-Noir,5,5.882352941176471,7.176089274621448
40,1085,johnny,11,Film-Noir,5,5.882352941176471,7.535323570977103
41,954,rich,5,Film-Noir,5,5.882352941176471,7.166780040664802
42,654,hires,5,Film-Noir,5,5.882352941176471,7.261112435355895
43,402,harry,13,Film-Noir,5,5.882352941176471,7.1246986888471096
44,401,murder,6,Film-Noir,5,5.882352941176471,6.973905168646515
45,170,turns,5,Film-Noir,5,5.882352941176471,7.065151057810456
46,158,small,5,Film-Noir,5,5.882352941176471,6.93504960697638
47,81,newspaper,5,Film-Noir,5,5.882352941176471,7.086271267965704
48,1669,kills,6,Film-Noir,5,5.882352941176471,6.7968276475024565
