,index,word,count,genres,title_occurrence,%_occurrence,mean_rating
0,2663,war,69,History,58,16.95906432748538,7.033330022440601
1,994,story,68,History,58,16.95906432748538,7.041620877167926
2,908,life,66,History,55,16.08187134502924,6.884023652369649
3,3035,film,63,History,48,14.035087719298245,7.074265638867367
4,3812,young,43,History,36,10.526315789473685,6.805817019793739
5,419,american,39,History,33,9.649122807017545,7.073361350880011
6,4117,world,34,History,32,9.35672514619883,7.114116406508787
7,382,new,39,History,31,9.064327485380117,7.200618165304257
8,2726,true,32,History,30,8.771929824561404,6.948149300964032
9,813,family,34,History,30,8.771929824561404,6.672068665705947
10,1971,british,51,History,30,8.771929824561404,7.035948742708228
11,2016,own,30,History,27,7.894736842105263,7.053460807606969
12,3674,get,30,History,26,7.60233918128655,6.99070760059788
13,8,years,30,History,25,7.309941520467836,7.00680349985362
14,3057,men,29,History,24,7.017543859649122,7.17459525154327
15,2697,history,24,History,23,6.7251461988304095,7.0046497208626315
16,3344,other,23,History,23,6.7251461988304095,7.072113638817259
17,2679,man,23,History,22,6.432748538011696,6.8799641197000625
18,2586,wife,22,History,22,6.432748538011696,6.620208889141299
19,436,events,22,History,22,6.432748538011696,7.1641378280099985
20,3125,army,28,History,21,6.140350877192983,7.019139906891725
21,3392,way,21,History,20,5.847953216374269,7.117642621944965
22,1371,military,24,History,20,5.847953216374269,6.863209968049164
23,4175,love,27,History,20,5.847953216374269,6.8926004877697675
24,4282,time,22,History,20,5.847953216374269,6.992593672268535
25,1214,small,22,History,19,5.555555555555555,6.85937153252333
26,2629,many,20,History,18,5.2631578947368425,7.103691058094426
27,368,political,26,History,18,5.2631578947368425,7.005602816098407
28,2449,death,20,History,18,5.2631578947368425,6.75328605852338
29,4028,civil,19,History,18,5.2631578947368425,7.258182517900939
