,index,word,count,genres,title_occurrence,%_occurrence,mean_rating
0,403,new,114,Music,93,19.175257731958762,6.799224561030463
1,2971,music,108,Music,89,18.350515463917525,6.802797545104417
2,2065,rock,90,Music,66,13.608247422680412,6.607670885105784
3,1003,life,63,Music,57,11.75257731958763,6.7408643384384535
4,2954,nan,56,Music,56,11.54639175257732,6.778189342856639
5,4311,band,71,Music,54,11.1340206185567,6.795146898859097
6,4205,young,54,Music,49,10.103092783505154,6.524740120077913
7,4603,live,54,Music,48,9.896907216494846,7.127671369479967
8,501,concert,56,Music,47,9.690721649484535,7.022758455346263
9,4621,singer,45,Music,44,9.072164948453608,6.469342737545197
10,3326,film,51,Music,41,8.45360824742268,6.749901905524451
11,1196,first,44,Music,41,8.45360824742268,6.836528656108785
12,4524,world,46,Music,40,8.24742268041237,6.612310067196472
13,3704,other,34,Music,32,6.597938144329897,6.696625896587638
14,6,years,34,Music,31,6.391752577319588,6.821724446309424
15,4454,york,37,Music,30,6.185567010309279,6.721973321145978
16,904,family,34,Music,30,6.185567010309279,6.692762409051594
17,1087,story,31,Music,29,5.979381443298969,6.96344106978391
18,3275,career,29,Music,28,5.77319587628866,6.707571475023413
19,2736,documentary,28,Music,28,5.77319587628866,7.072492733995231
20,4709,time,30,Music,28,5.77319587628866,6.470318534095132
21,3478,help,28,Music,27,5.56701030927835,6.72840467229419
22,2243,own,29,Music,27,5.56701030927835,6.756370982384393
23,4689,big,31,Music,27,5.56701030927835,6.4022824726770455
24,2893,many,27,Music,25,5.154639175257732,6.836293796056132
25,2008,songs,27,Music,25,5.154639175257732,7.238415025885389
