,index,word,count,genres,title_occurrence,%_occurrence,mean_rating
0,9880,new,386,Thriller,300,16.295491580662684,6.302426645713654
1,5660,man,305,Thriller,259,14.068441064638783,6.337495470602528
2,1540,young,261,Thriller,225,12.221618685497013,6.101697001059774
3,5875,police,259,Thriller,211,11.461162411732754,6.218482997629486
4,4905,finds,229,Thriller,208,11.298207495926126,6.33076063007573
5,4184,life,213,Thriller,179,9.722976643128735,6.20335304617996
6,5286,wife,175,Thriller,159,8.636610537751222,6.163211292679779
7,12745,years,166,Thriller,155,8.419337316675719,6.236160358845362
8,11679,other,171,Thriller,149,8.093427485062467,6.311686456638208
9,4494,murder,169,Thriller,143,7.767517653449213,6.347921948990272
10,7701,own,160,Thriller,141,7.658881042911461,6.40277851363114
11,11626,take,149,Thriller,134,7.278652906029332,6.337545871744043
12,299,people,149,Thriller,132,7.170016295491581,6.272969849166421
13,1232,old,147,Thriller,132,7.170016295491581,6.311717401344961
14,5536,time,148,Thriller,131,7.115697990222705,6.2651228165263335
15,2740,way,144,Thriller,131,7.115697990222705,6.386379059483887
16,2251,woman,146,Thriller,123,6.6811515480717,6.080893195515704
17,9532,group,138,Thriller,119,6.4638783269961975,6.1514722702363684
18,3320,he's,139,Thriller,116,6.3009234111895704,6.417057050916249
19,9606,world,131,Thriller,113,6.137968495382944,6.368410477513615
20,2424,decides,126,Thriller,112,6.083650190114068,6.168085518741664
21,4793,first,127,Thriller,110,5.975013579576317,6.527329549833579
22,4831,story,126,Thriller,108,5.866376969038566,6.42972053759399
23,3290,death,118,Thriller,107,5.81205866376969,6.28016508295549
24,6578,secret,123,Thriller,105,5.7034220532319395,6.193916217999125
25,11183,meets,108,Thriller,104,5.649103747963063,6.305170449482966
26,4300,daughter,118,Thriller,103,5.594785442694188,6.2711150756270655
27,11364,discovers,106,Thriller,102,5.5404671374253125,6.324420574582905
28,110,love,121,Thriller,99,5.3775122216186855,6.2143851372475325
29,2835,former,113,Thriller,98,5.32319391634981,6.358912964964246
30,10058,detective,125,Thriller,97,5.268875611080935,6.346069203927008
31,4912,men,122,Thriller,97,5.268875611080935,6.259740325048389
32,3795,stop,107,Thriller,97,5.268875611080935,6.176177700781636
33,4197,work,106,Thriller,96,5.2145573058120585,6.460354102750133
34,168,it's,100,Thriller,95,5.160239000543183,6.293765525306479
35,10793,mysterious,96,Thriller,94,5.105920695274308,6.001515056969919
36,7100,town,113,Thriller,93,5.051602390005431,6.166007390693503
