,index,word,count,genres,title_occurrence,%_occurrence,mean_rating
0,1746,town,84,Western,58,21.804511278195488,6.675777542453517
1,2083,man,43,Western,38,14.285714285714286,6.854841623354627
2,305,new,48,Western,37,13.909774436090226,6.648034339693984
3,659,find,42,Western,37,13.909774436090226,6.6021538562109985
4,1675,old,38,Western,37,13.909774436090226,6.708250470859842
5,710,life,39,Western,34,12.781954887218046,6.63015802345461
6,1739,make,33,Western,32,12.030075187969924,6.634039910174409
7,2917,young,35,Western,31,11.654135338345865,6.674867621892209
8,2615,way,32,Western,30,11.278195488721805,6.817428208802761
9,3073,civil,28,Western,28,10.526315789473685,6.776455849816242
10,2836,get,29,Western,27,10.150375939849624,6.80129350582523
11,180,gang,32,Western,25,9.398496240601503,6.706736178537255
12,3253,time,31,Western,25,9.398496240601503,6.856234842285723
13,1579,own,24,Western,24,9.022556390977444,6.737228745658029
14,2355,men,29,Western,24,9.022556390977444,6.729857590536164
15,5,years,26,Western,24,9.022556390977444,6.767799735884474
16,639,family,27,Western,24,9.022556390977444,6.562997329741332
17,2074,war,29,Western,24,9.022556390977444,6.7465303661652385
18,3010,indian,30,Western,23,8.646616541353383,6.8153742086616065
19,2419,help,21,Western,21,7.894736842105263,6.684123519451122
20,2574,other,22,Western,20,7.518796992481203,6.716241848378272
21,2158,set,24,Western,20,7.518796992481203,6.63839436874638
22,676,run,21,Western,20,7.518796992481203,6.7247594992788065
23,547,train,27,Western,20,7.518796992481203,6.773456369918476
24,217,gold,24,Western,20,7.518796992481203,6.7116206037733805
25,2015,wife,20,Western,19,7.142857142857143,6.882136876528174
26,1747,group,21,Western,19,7.142857142857143,6.697472310220166
27,1404,friend,20,Western,19,7.142857142857143,6.78498682630857
28,1257,local,25,Western,19,7.142857142857143,6.849165740453705
29,434,john,26,Western,18,6.7669172932330826,6.736082932627025
30,2818,daughter,20,Western,18,6.7669172932330826,6.6142857258955114
31,2890,decides,17,Western,17,6.390977443609023,6.648380761151382
32,1639,meets,18,Western,17,6.390977443609023,6.778009946946923
33,2553,returns,17,Western,17,6.390977443609023,6.763067257674277
34,938,small,19,Western,17,6.390977443609023,6.83745628630558
35,1391,wild,19,Western,17,6.390977443609023,6.59020145466166
36,2891,woman,17,Western,17,6.390977443609023,6.236728667111596
37,1734,son,21,Western,17,6.390977443609023,6.868027756443891
38,160,become,18,Western,16,6.015037593984962,6.628318159605586
39,3180,love,18,Western,16,6.015037593984962,6.886007047081837
40,775,story,17,Western,16,6.015037593984962,6.877113847830511
41,2810,cattle,23,Western,16,6.015037593984962,6.980427274725116
42,1086,he's,19,Western,16,6.015037593984962,6.762594311752654
43,2617,mexican,16,Western,16,6.015037593984962,6.5981884928029455
44,2397,army,17,Western,16,6.015037593984962,6.553144240186722
45,3265,fight,17,Western,16,6.015037593984962,7.045849701053763
46,2555,home,15,Western,15,5.639097744360902,6.714197395103312
47,3011,tries,17,Western,14,5.2631578947368425,6.996851459478867
48,478,order,14,Western,14,5.2631578947368425,6.468816716783936
49,2370,texas,14,Western,14,5.2631578947368425,6.669503242567321
50,1569,arrives,15,Western,14,5.2631578947368425,6.742321046170942
